Wed, Sep 01, 2021
1:41:06 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0200000	4706.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0026410	0.0031708	0.0100809	0.0090596	-0.0027431	-0.0038166	-0.0111489	-0.0100909
97.2600000	122.3799973	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0017923	0.0019055	-0.0000742	-0.0007608	-0.0019462	-0.0024885	-0.0008853	-0.0002718
98.6050000	-4521.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0028232	0.0028735	-0.0100064	-0.0111750	-0.0029265	-0.0034105	0.0090476	0.0100485
100.1450000	4704.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0028143	0.0033886	0.0101587	0.0090725	-0.0029295	-0.0040368	-0.0112196	-0.0100814
101.3900000	122.1699982	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0019361	0.0020752	-0.0000455	-0.0007772	-0.0020971	-0.0026645	-0.0009128	-0.0002345
102.7400000	-4519.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030021	0.0030932	-0.0100053	-0.0112345	-0.0031268	-0.0036383	0.0090517	0.0101369
104.2800000	4703.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0030004	0.0036215	0.0102371	0.0090812	-0.0031345	-0.0042708	-0.0112871	-0.0100756
105.5700000	122.2699966	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0020810	0.0022561	-0.0000196	-0.0007957	-0.0022582	-0.0028516	-0.0009402	-0.0002008
106.8200000	-4517.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031960	0.0033209	-0.0100022	-0.0112945	-0.0033348	-0.0038798	0.0090480	0.0102172
108.4850000	4701.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0031961	0.0038655	0.0103103	0.0090782	-0.0033550	-0.0045272	-0.0113636	-0.0100727
109.8050000	122.3300018	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0022466	0.0024560	0.0000139	-0.0008251	-0.0024345	-0.0030585	-0.0009732	-0.0001661
111.0850000	-4515.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034119	0.0035787	-0.0099974	-0.0113648	-0.0035573	-0.0041364	0.0090464	0.0103020
112.6350000	4698.0000000	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0034082	0.0041252	0.0103918	0.0090790	-0.0035693	-0.0047808	-0.0114343	-0.0100647
114.0550000	122.2399979	0.0000100	0.0000100	0.0000100	0.0000100	-0.0000100	-0.0000100	-0.0000100	-0.0000100	0.0024222	0.0026657	0.0000477	-0.0008550	-0.0026169	-0.0032732	-0.0010109	-0.0001319
